file,run,family,model,task,trial,round,status,clean,overfit,label,sublabel,rk_label,parse_ok,n_procs,n_call,n_uncall,n_uncall_pair,has_uncall_pair,has_recursion,n_local_arrays,has_history_array,n_local_stacks,has_local_stack_history,n_push,n_pop,n_swap,has_linear_swap,has_modinv,has_inline_uncompute,local_arr_in_entry,n_loops,n_if,loc,parse_fixup
genjanus-ipsjpro26/rabin_karp/20260627_claude_opus_rk_hashgate/trials/rk1d/trial_001_round_00.jan,20260627_claude_opus_rk_hashgate,rk,opus,rk1d,1,0,RUNTIME_ERROR,1,0,recompute,recompute/uncall,recompute,1,3,3,2,2,1,0,0,0,0,0,1,0,0,0,0,1,0,7,5,96,0
genjanus-ipsjpro26/rabin_karp/20260627_claude_opus_rk_hashgate/trials/rk1d/trial_001_round_01.jan,20260627_claude_opus_rk_hashgate,rk,opus,rk1d,1,1,NO_HASH,1,0,recompute,recompute/uncall,recompute,1,3,3,3,2,1,0,0,0,0,0,1,0,0,0,0,1,0,7,5,97,0
genjanus-ipsjpro26/rabin_karp/20260627_claude_opus_rk_hashgate/trials/rk1d/trial_001_round_02.jan,20260627_claude_opus_rk_hashgate,rk,opus,rk1d,1,2,NO_HASH,1,0,recompute,recompute/uncall,recompute,1,3,3,3,2,1,0,0,0,0,0,1,0,0,0,0,1,0,7,5,101,0
genjanus-ipsjpro26/rabin_karp/20260627_claude_opus_rk_hashgate/trials/rk1d/trial_001_round_03.jan,20260627_claude_opus_rk_hashgate,rk,opus,rk1d,1,3,SUCCESS,1,0,algebraic-inverse,algebraic/modinv,modinv-roll,1,5,5,5,4,1,0,0,0,0,0,1,0,2,1,1,1,0,9,5,134,0
genjanus-ipsjpro26/rabin_karp/20260627_claude_opus_rk_hashgate/trials/rk2d/trial_001_round_00.jan,20260627_claude_opus_rk_hashgate,rk,opus,rk2d,1,0,NO_HASH,1,0,recompute,recompute/uncall,recompute,1,4,4,4,3,1,0,0,0,0,0,2,0,0,0,0,0,0,6,2,75,0
genjanus-ipsjpro26/rabin_karp/20260627_claude_opus_rk_hashgate/trials/rk2d/trial_001_round_01.jan,20260627_claude_opus_rk_hashgate,rk,opus,rk2d,1,1,SUCCESS,1,0,algebraic-inverse,algebraic/modinv,modinv-roll,1,6,7,5,4,1,0,0,0,0,0,2,0,1,0,1,0,0,7,2,91,0
genjanus-ipsjpro26/rabin_karp/20260627_claude_opus_rk_hashgate/trials/rk3/trial_001_round_00.jan,20260627_claude_opus_rk_hashgate,rk,opus,rk3,1,0,NO_HASH,1,0,recompute,recompute/uncall,recompute,1,6,6,3,2,1,0,0,0,0,0,3,0,0,0,0,0,0,9,2,81,0
genjanus-ipsjpro26/rabin_karp/20260627_claude_opus_rk_hashgate/trials/rk3/trial_001_round_01.jan,20260627_claude_opus_rk_hashgate,rk,opus,rk3,1,1,SUCCESS,1,0,algebraic-inverse,algebraic/modinv,modinv-roll,1,8,8,4,3,1,0,0,0,0,0,3,0,1,0,1,0,0,10,3,96,0
genjanus-ipsjpro26/rabin_karp/20260629_claude_opus_rk_repro/trials/rk1d/trial_001_round_00.jan,20260629_claude_opus_rk_repro,rk,opus,rk1d,1,0,RUNTIME_ERROR,1,1,direct,direct,recompute,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,9,3,85,0
genjanus-ipsjpro26/rabin_karp/20260629_claude_opus_rk_repro/trials/rk1d/trial_001_round_01.jan,20260629_claude_opus_rk_repro,rk,opus,rk1d,1,1,NO_HASH,1,0,direct,direct,recompute,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,10,4,91,0
genjanus-ipsjpro26/rabin_karp/20260629_claude_opus_rk_repro/trials/rk1d/trial_001_round_02.jan,20260629_claude_opus_rk_repro,rk,opus,rk1d,1,2,SUCCESS,1,0,history,history/array,forward-only,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,13,4,110,0
genjanus-ipsjpro26/rabin_karp/20260629_claude_opus_rk_repro/trials/rk1d/trial_002_round_00.jan,20260629_claude_opus_rk_repro,rk,opus,rk1d,2,0,RUNTIME_ERROR,1,0,algebraic-inverse,algebraic/linear-swap,forward-only,1,5,4,4,4,1,0,5,0,0,0,1,0,1,1,0,1,1,6,4,125,0
genjanus-ipsjpro26/rabin_karp/20260629_claude_opus_rk_repro/trials/rk1d/trial_002_round_01.jan,20260629_claude_opus_rk_repro,rk,opus,rk1d,2,1,RUNTIME_ERROR,1,0,algebraic-inverse,algebraic/linear-swap,forward-only,1,5,4,4,4,1,0,5,0,0,0,1,0,1,1,0,1,1,6,4,127,0
genjanus-ipsjpro26/rabin_karp/20260629_claude_opus_rk_repro/trials/rk1d/trial_002_round_02.jan,20260629_claude_opus_rk_repro,rk,opus,rk1d,2,2,RUNTIME_ERROR,1,0,algebraic-inverse,algebraic/linear-swap,forward-only,1,5,4,4,4,1,0,5,0,0,0,1,0,1,1,0,1,1,6,4,127,0
genjanus-ipsjpro26/rabin_karp/20260629_claude_opus_rk_repro/trials/rk1d/trial_002_round_03.jan,20260629_claude_opus_rk_repro,rk,opus,rk1d,2,3,NO_HASH,1,0,algebraic-inverse,algebraic/linear-swap,forward-only,1,5,4,4,4,1,0,5,0,0,0,1,0,1,1,0,1,1,6,4,129,0
genjanus-ipsjpro26/rabin_karp/20260629_claude_opus_rk_repro/trials/rk1d/trial_002_round_04.jan,20260629_claude_opus_rk_repro,rk,opus,rk1d,2,4,NO_HASH,1,0,algebraic-inverse,algebraic/linear-swap,forward-only,1,5,1,4,1,1,0,5,1,0,0,1,0,2,1,0,1,1,10,5,194,0
genjanus-ipsjpro26/rabin_karp/20260629_claude_opus_rk_repro/trials/rk1d/trial_002_round_05.jan,20260629_claude_opus_rk_repro,rk,opus,rk1d,2,5,SUCCESS,1,0,recompute,recompute/uncall,forward-only,1,5,4,4,4,1,0,4,0,0,0,1,0,4,0,0,0,1,6,5,126,0
genjanus-ipsjpro26/rabin_karp/20260629_claude_opus_rk_repro/trials/rk1d/trial_003_round_00.jan,20260629_claude_opus_rk_repro,rk,opus,rk1d,3,0,SUCCESS,1,0,recompute,recompute/uncall,recompute,1,4,7,3,2,1,1,0,0,0,0,1,0,0,0,0,1,0,2,7,70,0
genjanus-ipsjpro26/rabin_karp/20260629_claude_opus_rk_repro/trials/rk1d/trial_004_round_00.jan,20260629_claude_opus_rk_repro,rk,opus,rk1d,4,0,NO_HASH,1,0,recompute,recompute/uncall,recompute,1,3,3,3,2,1,0,0,0,0,0,1,0,0,0,0,1,0,4,3,67,0
