file,run,family,model,task,trial,round,status,clean,overfit,label,sublabel,rk_label,parse_ok,n_procs,n_call,n_uncall,n_uncall_pair,has_uncall_pair,has_recursion,n_local_arrays,has_history_array,n_local_stacks,has_local_stack_history,n_push,n_pop,n_swap,has_linear_swap,has_modinv,has_inline_uncompute,local_arr_in_entry,n_loops,n_if,loc,parse_fixup
gen_roopl/runs/20260709_pilot_gemini-3-flash-preview_rooplpp_basic19/trials/p01swap/trial_001_round_00.rplpp,20260709_pilot_gemini-3-flash-preview_rooplpp_basic19,rooplpp-basic19,gemini-3-flash-preview,p_swap,1,0,SYNTAX_ERROR,1,0,direct,direct,recompute,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
gen_roopl/runs/20260709_pilot_gemini-3-flash-preview_rooplpp_basic19/trials/p01swap/trial_001_round_01.rplpp,20260709_pilot_gemini-3-flash-preview_rooplpp_basic19,rooplpp-basic19,gemini-3-flash-preview,p_swap,1,1,SUCCESS,1,0,direct,direct,recompute,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
gen_roopl/runs/20260709_pilot_gemini-3-flash-preview_rooplpp_basic19/trials/p01swap/trial_002_round_00.rplpp,20260709_pilot_gemini-3-flash-preview_rooplpp_basic19,rooplpp-basic19,gemini-3-flash-preview,p_swap,2,0,SYNTAX_ERROR,1,0,direct,direct,recompute,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
gen_roopl/runs/20260709_pilot_gemini-3-flash-preview_rooplpp_basic19/trials/p01swap/trial_002_round_01.rplpp,20260709_pilot_gemini-3-flash-preview_rooplpp_basic19,rooplpp-basic19,gemini-3-flash-preview,p_swap,2,1,SUCCESS,1,0,direct,direct,recompute,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
gen_roopl/runs/20260709_pilot_gemini-3-flash-preview_rooplpp_basic19/trials/p01swap/trial_003_round_00.rplpp,20260709_pilot_gemini-3-flash-preview_rooplpp_basic19,rooplpp-basic19,gemini-3-flash-preview,p_swap,3,0,SYNTAX_ERROR,1,0,direct,direct,recompute,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0
gen_roopl/runs/20260709_pilot_gemini-3-flash-preview_rooplpp_basic19/trials/p01swap/trial_003_round_01.rplpp,20260709_pilot_gemini-3-flash-preview_rooplpp_basic19,rooplpp-basic19,gemini-3-flash-preview,p_swap,3,1,SUCCESS,1,0,direct,direct,recompute,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0
gen_roopl/runs/20260709_pilot_gemini-3-flash-preview_rooplpp_basic19/trials/p01swap/trial_004_round_00.rplpp,20260709_pilot_gemini-3-flash-preview_rooplpp_basic19,rooplpp-basic19,gemini-3-flash-preview,p_swap,4,0,SYNTAX_ERROR,1,0,direct,direct,recompute,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0
gen_roopl/runs/20260709_pilot_gemini-3-flash-preview_rooplpp_basic19/trials/p01swap/trial_004_round_01.rplpp,20260709_pilot_gemini-3-flash-preview_rooplpp_basic19,rooplpp-basic19,gemini-3-flash-preview,p_swap,4,1,SUCCESS,1,0,direct,direct,recompute,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0
gen_roopl/runs/20260709_pilot_gemini-3-flash-preview_rooplpp_basic19/trials/p01swap/trial_005_round_00.rplpp,20260709_pilot_gemini-3-flash-preview_rooplpp_basic19,rooplpp-basic19,gemini-3-flash-preview,p_swap,5,0,SYNTAX_ERROR,1,0,direct,direct,recompute,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
gen_roopl/runs/20260709_pilot_gemini-3-flash-preview_rooplpp_basic19/trials/p01swap/trial_005_round_01.rplpp,20260709_pilot_gemini-3-flash-preview_rooplpp_basic19,rooplpp-basic19,gemini-3-flash-preview,p_swap,5,1,SUCCESS,1,0,direct,direct,recompute,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0
gen_roopl/runs/20260709_pilot_gemini-3-flash-preview_rooplpp_basic19/trials/p02swap/trial_001_round_00.rplpp,20260709_pilot_gemini-3-flash-preview_rooplpp_basic19,rooplpp-basic19,gemini-3-flash-preview,p_swap,1,0,SUCCESS,1,0,direct,direct,recompute,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0
