basic19_id,V0_gpt-5.2_py2014_pct,V0_gpt-4.1_py2014_pct,V0_gpt-5-nano_py2014_pct,V1_task,V1_n_valid,V1_round0_pct_valid,V1_final_pct_valid,V1_round0_pct_all100,V1_final_pct_all100,V2_Opus 4.8/high_n_valid,V2_Opus 4.8/high_round0_pct,V2_Opus 4.8/high_final_pct,V2_Opus 4.8/high_first10_success,V2_Gemini-3-flash-preview_n_valid,V2_Gemini-3-flash-preview_round0_pct,V2_Gemini-3-flash-preview_final_pct,V2_Gemini-3-flash-preview_first10_success,V2_GPT-5.4/low_n_valid,V2_GPT-5.4/low_round0_pct,V2_GPT-5.4/low_final_pct,V2_GPT-5.4/low_first10_success,V2_GPT-5.5/low_n_valid,V2_GPT-5.5/low_round0_pct,V2_GPT-5.5/low_final_pct,V2_GPT-5.5/low_first10_success,V2_GPT-5.4-mini/low_n_valid,V2_GPT-5.4-mini/low_round0_pct,V2_GPT-5.4-mini/low_final_pct,V2_GPT-5.4-mini/low_first10_success,V2_Gemini-3.1-flash-lite_n_valid,V2_Gemini-3.1-flash-lite_round0_pct,V2_Gemini-3.1-flash-lite_final_pct,V2_Gemini-3.1-flash-lite_first10_success,V2_Haiku 4.5_n_valid,V2_Haiku 4.5_round0_pct,V2_Haiku 4.5_final_pct,V2_Haiku 4.5_first10_success
p01swap,0,0,0,swap,90,100.0,100.0,90.0,90.0,12,16.7,100.0,10/10,12,100.0,100.0,10/10,20,65.0,100.0,10/10,38,76.3,97.4,9/10,48,8.3,87.5,10/10,12,0.0,16.7,2/10,10,80.0,90.0,9/10
p02swap,95,81,94,swap,90,100.0,100.0,90.0,90.0,12,100.0,100.0,10/10,12,100.0,100.0,10/10,18,100.0,100.0,10/10,24,100.0,100.0,10/10,48,97.9,100.0,10/10,11,54.5,100.0,10/10,10,100.0,100.0,10/10
p03cycle3,9,26,73,cycle3,87,100.0,100.0,87.0,87.0,12,100.0,100.0,10/10,12,91.7,100.0,10/10,18,100.0,100.0,10/10,24,100.0,100.0,10/10,48,89.6,100.0,10/10,11,54.5,63.6,7/10,10,100.0,100.0,10/10
p04cycle3,8,33,77,cycle3,87,100.0,100.0,87.0,87.0,12,100.0,100.0,10/10,12,100.0,100.0,10/10,18,100.0,100.0,10/10,24,100.0,100.0,10/10,48,100.0,100.0,10/10,11,54.5,81.8,9/10,10,100.0,100.0,10/10
p05cycle3,36,17,67,cycle3,87,100.0,100.0,87.0,87.0,12,100.0,100.0,10/10,12,100.0,100.0,10/10,18,100.0,100.0,10/10,18,100.0,100.0,10/10,48,100.0,100.0,10/10,11,54.5,72.7,8/10,10,100.0,100.0,10/10
p06cycle3,36,21,73,cycle3,87,100.0,100.0,87.0,87.0,12,100.0,100.0,10/10,12,100.0,100.0,10/10,18,100.0,100.0,10/10,18,100.0,100.0,10/10,48,93.8,100.0,10/10,11,54.5,90.9,9/10,10,100.0,100.0,10/10
p07flipsign,6,9,19,negate,68,67.6,100.0,46.0,68.0,12,100.0,100.0,10/10,12,91.7,100.0,10/10,18,88.9,100.0,10/10,18,100.0,100.0,10/10,48,100.0,100.0,10/10,11,90.9,100.0,10/10,10,100.0,100.0,10/10
p08max2,35,24,41,max_min*,85,100.0,100.0,85.0,85.0,12,100.0,100.0,10/10,12,91.7,100.0,10/10,18,100.0,100.0,10/10,18,100.0,100.0,10/10,48,100.0,100.0,10/10,11,90.9,100.0,10/10,10,100.0,100.0,10/10
p09even,94,86,98,,,,,,,12,100.0,100.0,10/10,12,91.7,100.0,10/10,18,94.4,100.0,10/10,18,100.0,100.0,10/10,48,100.0,100.0,10/10,11,100.0,100.0,10/10,10,100.0,100.0,10/10
p10fact,16,15,6,factorial,38,94.7,100.0,36.0,38.0,12,100.0,100.0,10/10,12,100.0,100.0,10/10,18,100.0,100.0,10/10,18,100.0,100.0,10/10,48,79.2,100.0,10/10,11,63.6,81.8,8/10,10,90.0,90.0,9/10
p11gcd,0,0,0,gcd,30,100.0,100.0,30.0,30.0,12,83.3,100.0,10/10,12,75.0,100.0,10/10,18,83.3,100.0,10/10,18,22.2,88.9,8/10,33,6.1,48.5,3/10,11,18.2,36.4,4/10,12,8.3,25.0,2/10
p12fibp,0,0,3,,,,,,,12,100.0,100.0,10/10,12,91.7,100.0,10/10,18,83.3,100.0,10/10,18,22.2,83.3,9/10,32,3.1,40.6,6/10,11,0.0,27.3,3/10,10,0.0,10.0,1/10
p13rev,0,0,6,,,,,,,12,83.3,100.0,10/10,12,100.0,100.0,10/10,18,72.2,100.0,10/10,14,50.0,100.0,10/10,32,9.4,90.6,10/10,11,27.3,54.5,6/10,10,10.0,40.0,4/10
p14srchA,0,0,0,,,,,,,12,75.0,100.0,10/10,12,75.0,100.0,10/10,18,94.4,100.0,10/10,12,33.3,100.0,10/10,32,0.0,28.1,3/10,11,9.1,18.2,2/10,10,0.0,0.0,0/10
p15srchB,0,0,0,,,,,,,12,83.3,100.0,10/10,12,91.7,100.0,10/10,18,66.7,94.4,9/10,12,25.0,100.0,10/10,20,10.0,60.0,8/10,11,18.2,54.5,6/10,10,20.0,30.0,3/10
p16sqrt,0,0,0,isqrt,43,97.7,100.0,42.0,43.0,12,100.0,100.0,10/10,12,100.0,100.0,10/10,18,55.6,94.4,10/10,12,66.7,100.0,10/10,22,22.7,36.4,3/10,11,27.3,81.8,9/10,10,10.0,70.0,7/10
p17rle,0,0,0,,,,,,,12,100.0,100.0,10/10,12,50.0,100.0,10/10,18,0.0,22.2,3/10,12,0.0,8.3,1/10,20,0.0,0.0,0/10,11,0.0,0.0,0/10,10,0.0,0.0,0/10
p18perm2code,0,0,16,,,,,,,11,90.9,100.0,10/10,12,83.3,100.0,10/10,18,50.0,94.4,9/10,12,0.0,66.7,8/10,24,0.0,4.2,0/10,11,0.0,9.1,1/10,10,0.0,0.0,0/10
p19fib,0,0,0,fibonacci*,14,85.7,100.0,12.0,14.0,4,0.0,100.0,4/4,12,16.7,41.7,5/10,12,8.3,16.7,2/10,12,0.0,0.0,0/10,21,0.0,0.0,0/10,11,0.0,36.4,4/10,10,0.0,0.0,0/10
