basic19_id,v0_prompt,model,canonical_dirs,n,jana_success,jana_pct,paper_pct,py2014_success,py2014_pct,py_inout_success,py_inout_pct,py2014_wrong,py2014_syntax,py2014_runtime,py2014_timeout,py2014_other
p01swap,p01swap,gpt5_2,p01swap_251227_183058,100,0,0.0,0,0,0.0,0,0.0,0,100,0,0,0
p01swap,p01swap,gpt4_1,p01swap_251227_200930,100,0,0.0,0,0,0.0,0,0.0,0,100,0,0,0
p01swap,p01swap,gpt5-nano,p01swap_251228_001621,100,0,0.0,0,0,0.0,0,0.0,0,100,0,0,0
p02swap,p02swap,gpt5_2,p02swap_251227_183058_gpt5_2,100,95,95.0,95,95,95.0,95,95.0,0,3,2,0,0
p02swap,p02swap,gpt4_1,p02swap_251227_200930_gpt4_1,100,81,81.0,81,81,81.0,81,81.0,2,16,1,0,0
p02swap,p02swap,gpt5-nano,p02swap_251228_003804_gpt5_2nano,100,94,94.0,94,94,94.0,94,94.0,0,5,1,0,0
p03cycle3,p03cycle3,gpt5_2,p03cycle3_251227_183058_gpt5_2,100,9,9.0,9,9,9.0,9,9.0,11,22,58,0,0
p03cycle3,p03cycle3,gpt4_1,p03cycle3_251227_200930_gpt4_1,100,26,26.0,26,26,26.0,26,26.0,56,13,5,0,0
p03cycle3,p03cycle3,gpt5-nano,p03cycle3_251228_003804_gpt5-nano,100,72,72.0,72,73,73.0,73,73.0,2,18,7,0,0
p04cycle3,p04cycle3,gpt5_2,p04cycle3_251227_183058,100,8,8.0,8,8,8.0,8,8.0,11,8,73,0,0
p04cycle3,p04cycle3,gpt4_1,p04cycle3_topup_gpt4_1_260703_005317;p04cycle3_251227_222036,100,33,33.0,33,33,33.0,33,33.0,47,12,8,0,0
p04cycle3,p04cycle3,gpt5-nano,p04cycle3_topup_gpt5-nano_260703_005320;p04cycle3_251228_003804,100,76,76.0,76,77,77.0,77,77.0,1,16,6,0,0
p05cycle3,p05cycle3,gpt5_2,p05cycle3_251227_183755,100,36,36.0,36,36,36.0,36,36.0,4,8,52,0,0
p05cycle3,p05cycle3,gpt4_1,p05cycle3_topup_gpt4_1_260703_005343;p05cycle3_251227_213017,100,17,17.0,17,17,17.0,17,17.0,50,16,17,0,0
p05cycle3,p05cycle3,gpt5-nano,p05cycle3_topup_gpt5-nano_260703_005356;p05cycle3_251228_003804,100,67,67.0,67,67,67.0,67,67.0,2,29,2,0,0
p06cycle3,p06cycle3,gpt5_2,p06cycle3_251227_183755,100,36,36.0,36,36,36.0,36,36.0,24,4,36,0,0
p06cycle3,p06cycle3,gpt4_1,p06cycle3_topup_gpt4_1_260703_005416;p06cycle3_251227_222036,100,21,21.0,21,21,21.0,21,21.0,11,19,49,0,0
p06cycle3,p06cycle3,gpt5-nano,p06cycle3_topup_gpt5-nano_260703_005425;p06cycle3_251228_083731,100,69,69.0,69,73,73.0,73,73.0,2,25,0,0,0
p07flipsign,p08flipsign,gpt5_2,p08flipsign_251227_183755,100,5,5.0,5,6,6.0,6,6.0,11,7,76,0,0
p07flipsign,p08flipsign,gpt4_1,p08flipsign_topup_gpt4_1_260703_005559;p08flipsign_251227_213017,100,7,7.0,7,9,9.0,9,9.0,4,15,72,0,0
p07flipsign,p08flipsign,gpt5-nano,p08flipsign_251228_092316,100,12,12.0,12,19,19.0,19,19.0,0,42,39,0,0
p08max2,p07max,gpt5_2,p07max_251227_183755,100,32,32.0,32,35,35.0,35,35.0,1,24,40,0,0
p08max2,p07max,gpt4_1,p07max_topup_gpt4_1_260703_005519;p07max_251227_222036,100,23,23.0,23,24,24.0,24,24.0,4,15,57,0,0
p08max2,p07max,gpt5-nano,p07max_251228_092316,100,35,35.0,35,41,41.0,41,41.0,10,17,32,0,0
p09even,p09even,gpt5_2,p09even_251227_184329,100,94,94.0,94,94,94.0,94,94.0,1,0,5,0,0
p09even,p09even,gpt4_1,p09even_topup_gpt4_1_260703_005653;p09even_251227_223128,100,78,78.0,78,86,86.0,86,86.0,6,2,6,0,0
p09even,p09even,gpt5-nano,p09even_251228_092316,100,61,61.0,61,98,98.0,98,98.0,0,2,0,0,0
p10fact,p11factorial,gpt5_2,p11factorial_251227_184329_gpt5_2,100,16,16.0,16,16,16.0,16,16.0,6,6,71,1,0
p10fact,p11factorial,gpt4_1,p11factorial_topup2_gpt4_1_260703_013518_2611206;p11factorial_251227_223128_gpt4_1,100,13,13.0,13,15,15.0,15,15.0,33,13,39,0,0
p10fact,p11factorial,gpt5-nano,p11factorial_topup2_gpt5-nano_260703_013639_2644505;p11factorial_251228_121610_gpt5_2_nano,97,6,6.2,6,6,6.2,6,6.2,1,69,21,0,0
p11gcd,p12gcd,gpt5_2,p12gcd_251226_204338,100,0,0.0,0,0,0.0,0,0.0,0,19,81,0,0
p11gcd,p12gcd,gpt4_1,p12gcd_251227_224129,100,0,0.0,0,0,0.0,0,0.0,0,29,71,0,0
p11gcd,p12gcd,gpt5-nano,p12gcd_topup2_gpt5-nano_260703_014500_2862676;p12gcd_251228_121610,100,0,0.0,0,0,0.0,0,0.0,0,64,35,1,0
p12fibp,p15fibpair,gpt5_2,p15fibpair_251228_153320,100,0,0.0,0,0,0.0,0,0.0,0,26,74,0,0
p12fibp,p15fibpair,gpt4_1,p15fibpair_topup_gpt4_1_260703_005236;p15fibpair_251228_144831,100,0,0.0,0,0,0.0,0,0.0,0,10,90,0,0
p12fibp,p15fibpair,gpt5-nano,p15fibpair_topup2_gpt5-nano_260703_015135_3032187;p15fibpair_251228_194905,100,2,2.0,2,3,3.0,3,3.0,0,63,34,0,0
